,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1016103,9,2,2013-01-01,0,0,0,0,a,1
1016095,1,2,2013-01-01,0,0,0,0,a,1
1016096,2,2,2013-01-01,0,0,0,0,a,1
1016097,3,2,2013-01-01,0,0,0,0,a,1
1016102,8,2,2013-01-01,0,0,0,0,a,1
1016099,5,2,2013-01-01,0,0,0,0,a,1
1016101,7,2,2013-01-01,0,0,0,0,a,1
1016098,4,2,2013-01-01,0,0,0,0,a,1
1016100,6,2,2013-01-01,0,0,0,0,a,1
1014988,9,3,2013-01-02,4903,481,1,0,0,1
1014987,8,3,2013-01-02,5419,698,1,0,0,1
1014986,7,3,2013-01-02,8244,955,1,0,0,1
1014985,6,3,2013-01-02,6089,781,1,0,0,1
1014984,5,3,2013-01-02,4253,577,1,0,0,1
1014983,4,3,2013-01-02,9941,1429,1,0,0,1
1014982,3,3,2013-01-02,6823,805,1,0,0,1
1014981,2,3,2013-01-02,4422,650,1,0,0,1
1014980,1,3,2013-01-02,5530,668,1,0,0,1
1013865,1,4,2013-01-03,4327,578,1,0,0,1
1013866,2,4,2013-01-03,4159,555,1,0,0,1
1013868,4,4,2013-01-03,8247,1248,1,0,0,1
1013867,3,4,2013-01-03,5902,721,1,0,0,1
1013870,6,4,2013-01-03,5398,689,1,0,0,0
1013873,9,4,2013-01-03,4602,453,1,0,0,1
1013871,7,4,2013-01-03,7231,867,1,0,0,1
1013872,8,4,2013-01-03,4842,662,1,0,0,1
1013869,5,4,2013-01-03,3465,491,1,0,0,0
1012750,1,5,2013-01-04,4486,619,1,0,0,1
1012751,2,5,2013-01-04,4484,574,1,0,0,1
1012752,3,5,2013-01-04,6069,690,1,0,0,1
1012753,4,5,2013-01-04,8290,1232,1,0,0,1
1012754,5,5,2013-01-04,4456,533,1,0,0,0
1012756,7,5,2013-01-04,7758,870,1,0,0,1
1012757,8,5,2013-01-04,4059,517,1,0,0,1
1012758,9,5,2013-01-04,4798,497,1,0,0,1
1012755,6,5,2013-01-04,6092,724,1,0,0,0
1011637,3,6,2013-01-05,4523,525,1,0,0,0
1011635,1,6,2013-01-05,4997,635,1,0,0,1
1011636,2,6,2013-01-05,2342,324,1,0,0,0
1011638,4,6,2013-01-05,10338,1514,1,0,0,0
1011642,8,6,2013-01-05,2337,312,1,0,0,0
1011640,6,6,2013-01-05,3872,467,1,0,0,0
1011641,7,6,2013-01-05,5218,575,1,0,0,0
1011643,9,6,2013-01-05,4254,450,1,0,0,0
1011639,5,6,2013-01-05,1590,202,1,0,0,0
1010520,1,7,2013-01-06,0,0,0,0,0,1
1010521,2,7,2013-01-06,0,0,0,0,0,0
1010522,3,7,2013-01-06,0,0,0,0,0,0
1010523,4,7,2013-01-06,0,0,0,0,0,0
1010525,6,7,2013-01-06,0,0,0,0,0,0
1010526,7,7,2013-01-06,0,0,0,0,0,0
1010527,8,7,2013-01-06,0,0,0,0,0,0
1010528,9,7,2013-01-06,0,0,0,0,0,0
1010524,5,7,2013-01-06,0,0,0,0,0,0
1009407,3,1,2013-01-07,12247,1079,1,1,0,0
1009405,1,1,2013-01-07,7176,785,1,1,0,1
1009406,2,1,2013-01-07,6775,763,1,1,0,0
1009408,4,1,2013-01-07,12112,1562,1,1,0,0
1009413,9,1,2013-01-07,7574,605,1,1,0,0
1009410,6,1,2013-01-07,8591,947,1,1,0,0
1009411,7,1,2013-01-07,12718,1150,1,1,0,0
1009412,8,1,2013-01-07,7416,802,1,1,0,0
1009409,5,1,2013-01-07,6978,717,1,1,0,0
1008291,2,2,2013-01-08,6318,685,1,1,0,0
1008290,1,2,2013-01-08,5580,654,1,1,0,1
1008293,4,2,2013-01-08,10031,1325,1,1,0,0
1008292,3,2,2013-01-08,9800,856,1,1,0,0
1008295,6,2,2013-01-08,7099,774,1,1,0,0
1008298,9,2,2013-01-08,6206,518,1,1,0,0
1008296,7,2,2013-01-08,10073,1070,1,1,0,0
1008297,8,2,2013-01-08,6333,700,1,1,0,0
1008294,5,2,2013-01-08,5718,613,1,1,0,0
1007176,2,3,2013-01-09,6763,785,1,1,0,0
1007177,3,3,2013-01-09,8001,778,1,1,0,0
1007178,4,3,2013-01-09,8857,1215,1,1,0,0
1007175,1,3,2013-01-09,5471,626,1,1,0,1
1007180,6,3,2013-01-09,6749,834,1,1,0,0
1007181,7,3,2013-01-09,7049,780,1,1,0,0
1007182,8,3,2013-01-09,5038,611,1,1,0,0
1007183,9,3,2013-01-09,4699,431,1,1,0,0
1007179,5,3,2013-01-09,5974,697,1,1,0,0
1006060,1,4,2013-01-10,4892,615,1,1,0,1
1006061,2,4,2013-01-10,5618,637,1,1,0,0
1006062,3,4,2013-01-10,7772,791,1,1,0,0
1006063,4,4,2013-01-10,9472,1285,1,1,0,0
1006064,5,4,2013-01-10,4999,596,1,1,0,0
1006066,7,4,2013-01-10,8234,870,1,1,0,0
1006067,8,4,2013-01-10,6084,775,1,1,0,0
1006068,9,4,2013-01-10,5340,482,1,1,0,0
1006065,6,4,2013-01-10,6282,737,1,1,0,0
1004947,3,5,2013-01-11,9292,951,1,1,0,0
1004946,2,5,2013-01-11,4810,539,1,1,0,0
1004948,4,5,2013-01-11,10512,1412,1,1,0,0
1004945,1,5,2013-01-11,4881,592,1,1,0,1
1004950,6,5,2013-01-11,6829,766,1,1,0,0
1004953,9,5,2013-01-11,5855,528,1,1,0,0
1004949,5,5,2013-01-11,5159,562,1,1,0,0
1004951,7,5,2013-01-11,7115,870,1,1,0,0
1004952,8,5,2013-01-11,4997,581,1,1,0,0
1003838,9,6,2013-01-12,4657,440,1,0,0,0
1003837,8,6,2013-01-12,2660,328,1,0,0,0
1003836,7,6,2013-01-12,4236,506,1,0,0,0
1003835,6,6,2013-01-12,3829,432,1,0,0,0
1003833,4,6,2013-01-12,9719,1461,1,0,0,0
1003832,3,6,2013-01-12,4455,485,1,0,0,0
1003831,2,6,2013-01-12,2630,337,1,0,0,0
1003830,1,6,2013-01-12,4952,646,1,0,0,0
1003834,5,6,2013-01-12,1760,223,1,0,0,0
1002718,4,7,2013-01-13,0,0,0,0,0,0
1002715,1,7,2013-01-13,0,0,0,0,0,0
1002716,2,7,2013-01-13,0,0,0,0,0,0
1002717,3,7,2013-01-13,0,0,0,0,0,0
1002719,5,7,2013-01-13,0,0,0,0,0,0
1002721,7,7,2013-01-13,0,0,0,0,0,0
1002722,8,7,2013-01-13,0,0,0,0,0,0
1002723,9,7,2013-01-13,0,0,0,0,0,0
1002720,6,7,2013-01-13,0,0,0,0,0,0
1001608,9,1,2013-01-14,4761,455,1,0,0,0
1001607,8,1,2013-01-14,4128,601,1,0,0,0
1001606,7,1,2013-01-14,6385,793,1,0,0,0
1001605,6,1,2013-01-14,5908,759,1,0,0,0
1001604,5,1,2013-01-14,4045,567,1,0,0,0
1001603,4,1,2013-01-14,7794,1222,1,0,0,0
1001602,3,1,2013-01-14,4566,599,1,0,0,0
1001601,2,1,2013-01-14,3995,530,1,0,0,0
1001600,1,1,2013-01-14,4717,616,1,0,0,0
1000486,2,2,2013-01-15,4075,513,1,0,0,0
1000485,1,2,2013-01-15,3900,512,1,0,0,0
1000488,4,2,2013-01-15,7121,1074,1,0,0,0
1000487,3,2,2013-01-15,5041,669,1,0,0,0
1000490,6,2,2013-01-15,5861,759,1,0,0,0
1000492,8,2,2013-01-15,4358,620,1,0,0,0
1000489,5,2,2013-01-15,3916,520,1,0,0,0
1000493,9,2,2013-01-15,2724,297,1,0,0,0
1000491,7,2,2013-01-15,6780,882,1,0,0,0
999378,9,3,2013-01-16,3761,367,1,0,0,0
999377,8,3,2013-01-16,3508,516,1,0,0,0
999376,7,3,2013-01-16,5921,711,1,0,0,0
999375,6,3,2013-01-16,4454,614,1,0,0,0
999374,5,3,2013-01-16,3546,513,1,0,0,0
999373,4,3,2013-01-16,6537,1061,1,0,0,0
999372,3,3,2013-01-16,4827,617,1,0,0,0
999371,2,3,2013-01-16,4198,591,1,0,0,0
999370,1,3,2013-01-16,4008,530,1,0,0,0
998255,1,4,2013-01-17,4044,503,1,0,0,0
998256,2,4,2013-01-17,2973,403,1,0,0,0
998258,4,4,2013-01-17,7088,1090,1,0,0,0
998257,3,4,2013-01-17,4463,600,1,0,0,0
998260,6,4,2013-01-17,5235,665,1,0,0,0
998263,9,4,2013-01-17,3702,362,1,0,0,0
998261,7,4,2013-01-17,6779,778,1,0,0,0
998262,8,4,2013-01-17,4833,693,1,0,0,0
998259,5,4,2013-01-17,3401,464,1,0,0,0
997140,1,5,2013-01-18,4127,568,1,0,0,0
997141,2,5,2013-01-18,3441,434,1,0,0,0
997142,3,5,2013-01-18,5390,703,1,0,0,0
997143,4,5,2013-01-18,7857,1153,1,0,0,0
997144,5,5,2013-01-18,4227,501,1,0,0,0
997146,7,5,2013-01-18,7010,778,1,0,0,0
997147,8,5,2013-01-18,3619,494,1,0,0,0
997148,9,5,2013-01-18,5325,487,1,0,0,0
997145,6,5,2013-01-18,5553,673,1,0,0,0
996025,1,6,2013-01-19,5182,688,1,0,0,0
996027,3,6,2013-01-19,3938,427,1,0,0,0
996026,2,6,2013-01-19,2399,303,1,0,0,0
996028,4,6,2013-01-19,9455,1427,1,0,0,0
996032,8,6,2013-01-19,2357,325,1,0,0,0
996030,6,6,2013-01-19,3702,417,1,0,0,0
996029,5,6,2013-01-19,1698,199,1,0,0,0
996033,9,6,2013-01-19,4883,444,1,0,0,0
996031,7,6,2013-01-19,4451,507,1,0,0,0
994918,9,7,2013-01-20,0,0,0,0,0,0
994917,8,7,2013-01-20,0,0,0,0,0,0
994916,7,7,2013-01-20,0,0,0,0,0,0
994915,6,7,2013-01-20,0,0,0,0,0,0
994914,5,7,2013-01-20,0,0,0,0,0,0
994913,4,7,2013-01-20,0,0,0,0,0,0
994912,3,7,2013-01-20,0,0,0,0,0,0
994911,2,7,2013-01-20,0,0,0,0,0,0
994910,1,7,2013-01-20,0,0,0,0,0,0
993795,1,1,2013-01-21,5394,607,1,1,0,0
993796,2,1,2013-01-21,6311,662,1,1,0,0
993797,3,1,2013-01-21,6014,630,1,1,0,0
993798,4,1,2013-01-21,11667,1556,1,1,0,0
993801,7,1,2013-01-21,10832,1034,1,1,0,0
993800,6,1,2013-01-21,6764,791,1,1,0,0
993802,8,1,2013-01-21,7589,769,1,1,0,0
993799,5,1,2013-01-21,6217,618,1,1,0,0
993803,9,1,2013-01-21,4658,437,1,1,0,0
992683,4,2,2013-01-22,9977,1323,1,1,0,0
992680,1,2,2013-01-22,5720,667,1,1,0,0
992681,2,2,2013-01-22,5803,656,1,1,0,0
992682,3,2,2013-01-22,7961,797,1,1,0,0
992684,5,2,2013-01-22,5680,626,1,1,0,0
992686,7,2,2013-01-22,9074,973,1,1,0,0
992687,8,2,2013-01-22,5893,668,1,1,0,0
992688,9,2,2013-01-22,6065,524,1,1,0,0
992685,6,2,2013-01-22,7066,798,1,1,0,0
991573,9,3,2013-01-23,4904,460,1,1,0,0
991572,8,3,2013-01-23,6469,682,1,1,0,0
991571,7,3,2013-01-23,7664,822,1,1,0,0
991570,6,3,2013-01-23,7343,801,1,1,0,0
991569,5,3,2013-01-23,6110,667,1,1,0,0
991568,4,3,2013-01-23,9236,1207,1,1,0,0
991567,3,3,2013-01-23,7863,803,1,1,0,0
991566,2,3,2013-01-23,5974,690,1,1,0,0
991565,1,3,2013-01-23,5578,627,1,1,0,0
990450,1,4,2013-01-24,5195,645,1,1,0,0
990451,2,4,2013-01-24,5091,582,1,1,0,0
990452,3,4,2013-01-24,7910,814,1,1,0,0
990453,4,4,2013-01-24,8516,1203,1,1,0,0
990455,6,4,2013-01-24,5844,678,1,1,0,0
990456,7,4,2013-01-24,7690,832,1,1,0,0
990457,8,4,2013-01-24,6114,773,1,1,0,0
990454,5,4,2013-01-24,4397,512,1,1,0,0
990458,9,4,2013-01-24,5237,466,1,1,0,0
989339,5,5,2013-01-25,4960,564,1,1,0,0
989343,9,5,2013-01-25,5501,488,1,1,0,0
989342,8,5,2013-01-25,5251,592,1,1,0,0
989341,7,5,2013-01-25,8360,943,1,1,0,0
989340,6,5,2013-01-25,6433,746,1,1,0,0
989338,4,5,2013-01-25,9730,1409,1,1,0,0
989337,3,5,2013-01-25,7565,773,1,1,0,0
989336,2,5,2013-01-25,4589,522,1,1,0,0
989335,1,5,2013-01-25,5586,676,1,1,0,0
988221,2,6,2013-01-26,2205,303,1,0,0,0
988222,3,6,2013-01-26,3902,450,1,0,0,0
988220,1,6,2013-01-26,5598,640,1,0,0,0
